Updated On,State,Total Doses Administered,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
21-03-2021,Arunachal Pradesh,72176,25610,20696,9753,,,,56082
22-03-2021,Arunachal Pradesh,75417,26164,21787,10566,,,,58541
23-03-2021,Arunachal Pradesh,77761,26371,22695,11131,,,,60221
24-03-2021,Arunachal Pradesh,77826,26335,22770,11140,,,,60269
25-03-2021,Arunachal Pradesh,81124,26767,24152,11926,,,,62868
26-03-2021,Arunachal Pradesh,84011,27232,25191,12530,,,,64976
27-03-2021,Arunachal Pradesh,86161,27509,26277,13171,,,,66980
28-03-2021,Arunachal Pradesh,86274,27531,26311,13176,,,,67041
29-03-2021,Arunachal Pradesh,86714,27682,26504,13255,,,,67464
30-03-2021,Arunachal Pradesh,88645,27853,27105,13668,,,,68649
31-03-2021,Arunachal Pradesh,88794,27865,27163,13740,,,,68791
01-04-2021,Arunachal Pradesh,94722,28406,30184,14652,,,,73266
02-04-2021,Arunachal Pradesh,96882,28627,31386,15010,,,,75047
03-04-2021,Arunachal Pradesh,100734,28790,33596,15705,,,,78114
04-04-2021,Arunachal Pradesh,102608,28782,34924,16054,,,,79783
05-04-2021,Arunachal Pradesh,106688,28819,37234,16680,,,,82757
06-04-2021,Arunachal Pradesh,109164,28844,38609,17104,,,,84581
07-04-2021,Arunachal Pradesh,113682,28912,41275,17789,,,,88000
08-04-2021,Arunachal Pradesh,120397,28875,45150,19056,,,,93106
09-04-2021,Arunachal Pradesh,126463,29042,48717,20155,,,,97939
10-04-2021,Arunachal Pradesh,131302,29339,51483,20909,,,,101756
11-04-2021,Arunachal Pradesh,134976,29505,53785,21660,,,,104975
12-04-2021,Arunachal Pradesh,144137,29981,58916,23627,,,,112551
13-04-2021,Arunachal Pradesh,151848,30571,63120,25107,,,,118825
14-04-2021,Arunachal Pradesh,158012,30627,67040,26618,,,,124312
15-04-2021,Arunachal Pradesh,161160,30794,68891,27238,,,,126950
16-04-2021,Arunachal Pradesh,166632,31055,71461,28269,,,,130812
17-04-2021,Arunachal Pradesh,170756,31333,73645,28942,,,,133947
18-04-2021,Arunachal Pradesh,172614,31383,74606,29326,,,,135342
19-04-2021,Arunachal Pradesh,180287,31861,78350,30556,,,,140794
20-04-2021,Arunachal Pradesh,186002,32250,81300,31521,,,,145098
21-04-2021,Arunachal Pradesh,190466,32733,83681,32239,,,,148680
22-04-2021,Arunachal Pradesh,197443,33490,87086,33362,,,,153966
23-04-2021,Arunachal Pradesh,204501,34388,90440,34311,,,,159167
24-04-2021,Arunachal Pradesh,209180,34916,92805,34916,,,,162665
25-04-2021,Arunachal Pradesh,210335,35052,93364,35091,,,,163535
26-04-2021,Arunachal Pradesh,216717,35799,96376,35971,,,,168174
27-04-2021,Arunachal Pradesh,222085,45873,89586,36691,,,,172178
28-04-2021,Arunachal Pradesh,227853,47308,92050,37501,,,,176888
29-04-2021,Arunachal Pradesh,234677,48629,94983,38484,,,,182123
30-04-2021,Arunachal Pradesh,241423,50120,97584,39370,,,,187103
01-05-2021,Arunachal Pradesh,245524,51060,98975,39846,,,,189910
02-05-2021,Arunachal Pradesh,246580,51163,99424,39902,,,,190514
03-05-2021,Arunachal Pradesh,252527,52406,100965,40444,,,,193841
04-05-2021,Arunachal Pradesh,256929,53670,102017,40761,,,,196476
05-05-2021,Arunachal Pradesh,261968,55033,103290,41166,,,,199517
06-05-2021,Arunachal Pradesh,267741,56324,104942,41671,,,,202965
07-05-2021,Arunachal Pradesh,273182,57491,106125,42065,,,,205709
08-05-2021,Arunachal Pradesh,277640,58300,107025,42393,,,,207746
09-05-2021,Arunachal Pradesh,278983,58556,107359,42471,,,,208414
10-05-2021,Arunachal Pradesh,285021,59282,108671,42879,,,,210862
11-05-2021,Arunachal Pradesh,288821,59948,109470,43152,,,,212600
12-05-2021,Arunachal Pradesh,290786,60593,110174,43412,,,,214210
13-05-2021,Arunachal Pradesh,293469,61404,111045,43687,,,,216168
14-05-2021,Arunachal Pradesh,295034,61793,111619,43945,,,,217389
15-05-2021,Arunachal Pradesh,296640,62316,112249,44162,,,,218759
16-05-2021,Arunachal Pradesh,297055,62489,112440,44210,,,,219171
17-05-2021,Arunachal Pradesh,302578,66832,113328,44472,,,,224664
18-05-2021,Arunachal Pradesh,308245,71806,113833,44615,,,,230286
19-05-2021,Arunachal Pradesh,313429,76325,114374,44729,,,,235462
20-05-2021,Arunachal Pradesh,318150,80130,115074,44930,,,,240168
21-05-2021,Arunachal Pradesh,321367,82598,115603,45139,,,,243375
22-05-2021,Arunachal Pradesh,323227,83865,115963,45292,,,,245155
23-05-2021,Arunachal Pradesh,324050,84383,116184,45376,,,,245978
24-05-2021,Arunachal Pradesh,327082,86669,116750,45533,,,,248988
25-05-2021,Arunachal Pradesh,328603,87729,117031,45643,,,,250439
26-05-2021,Arunachal Pradesh,329432,88095,117375,45751,,,,251257
27-05-2021,Arunachal Pradesh,330440,88590,117720,45905,,,,252251
28-05-2021,Arunachal Pradesh,331507,89088,118128,46045,,,,253299
29-05-2021,Arunachal Pradesh,332717,89561,118622,46225,,,,254447
30-05-2021,Arunachal Pradesh,333067,89641,118772,46343,,,,254795
31-05-2021,Arunachal Pradesh,334007,90094,119075,46470,,,,255678
01-06-2021,Arunachal Pradesh,336634,92117,119459,46622,,,,258237
02-06-2021,Arunachal Pradesh,343311,97865,120117,46826,,,,264847
03-06-2021,Arunachal Pradesh,351449,104818,120927,47124,,,,272908
04-06-2021,Arunachal Pradesh,362909,115077,121802,47415,,,,284334
05-06-2021,Arunachal Pradesh,372776,123714,122754,47667,,,,294176
06-06-2021,Arunachal Pradesh,376761,126773,123431,47902,,,,298148
07-06-2021,Arunachal Pradesh,384701,133204,124498,48276,,,,306022
08-06-2021,Arunachal Pradesh,390012,137195,125473,48570,,,,311287
09-06-2021,Arunachal Pradesh,395757,140723,127061,49125,,,,316960
10-06-2021,Arunachal Pradesh,400648,143437,128515,49733,,,,321736
11-06-2021,Arunachal Pradesh,405483,145560,130402,50476,,,,326492
12-06-2021,Arunachal Pradesh,410393,148348,131951,51009,,,,331364
13-06-2021,Arunachal Pradesh,414648,151236,132877,51437,,,,335606
14-06-2021,Arunachal Pradesh,420935,155328,134430,52009,,,,341823
15-06-2021,Arunachal Pradesh,426293,159270,135291,52442,,,,347059
16-06-2021,Arunachal Pradesh,438804,169765,136591,53050,,,,359462
17-06-2021,Arunachal Pradesh,453458,182195,138181,53591,,,,374023
18-06-2021,Arunachal Pradesh,468875,195835,139417,54054,,,,389369
19-06-2021,Arunachal Pradesh,478167,203993,140116,54365,,,,398545
20-06-2021,Arunachal Pradesh,480320,205824,140307,54482,,,,400684
21-06-2021,Arunachal Pradesh,494030,218032,141327,54829,,,,414267
22-06-2021,Arunachal Pradesh,505027,227866,141984,55081,,,,425013
23-06-2021,Arunachal Pradesh,517112,238938,142674,55295,,,,436991
24-06-2021,Arunachal Pradesh,529176,249461,143475,55569,,,,448592
16-03-2021,Assam,597787,169986,265168,70424,,,,505646
17-03-2021,Assam,614990,171718,270237,78938,,,,520961
18-03-2021,Assam,635553,174612,276736,85987,,,,537405
19-03-2021,Assam,655677,176803,282082,93066,,,,552023
20-03-2021,Assam,674602,179043,287348,99223,,,,565687
21-03-2021,Assam,678170,179432,288415,100709,,,,568629
22-03-2021,Assam,707326,182150,295929,112461,,,,590616
23-03-2021,Assam,837889,186885,332826,192024,,,,711817
24-03-2021,Assam,875007,188951,344382,212060,,,,745478
25-03-2021,Assam,965022,192489,374783,260981,,,,828339
26-03-2021,Assam,1020002,194790,395242,288661,,,,878784
27-03-2021,Assam,1043681,195907,405286,299663,,,,900947
28-03-2021,Assam,1044730,195978,405754,300137,,,,901960
29-03-2021,Assam,1047861,196209,406725,301651,,,,904676
30-03-2021,Assam,1080940,197798,417721,317197,,,,932808
31-03-2021,Assam,1098355,198720,423174,324451,,,,946438
01-04-2021,Assam,1127935,199758,437710,333080,,,,970643
02-04-2021,Assam,1167002,200977,457482,343666,,,,1002220
03-04-2021,Assam,1203976,202323,475146,353011,,,,1030573
04-04-2021,Assam,1225287,203185,485826,358507,,,,1047611
05-04-2021,Assam,1262224,203540,503709,368598,,,,1075940
06-04-2021,Assam,1290110,203652,517730,376265,,,,1097741
07-04-2021,Assam,1338480,204020,540850,388786,,,,1133750
08-04-2021,Assam,1405074,204406,571911,405293,,,,1181704
09-04-2021,Assam,1454260,205006,593450,416933,,,,1215483
10-04-2021,Assam,1486087,205401,607043,423592,,,,1236130
11-04-2021,Assam,1498693,205553,612616,426161,,,,1244425
12-04-2021,Assam,1530751,206037,624566,432546,,,,1263243
13-04-2021,Assam,1549948,206477,631982,436161,,,,1274714
14-04-2021,Assam,1553876,206471,633527,436846,,,,1276940
15-04-2021,Assam,1555448,206434,634234,437100,,,,1277864
16-04-2021,Assam,1564454,206502,637613,438774,,,,1282985
17-04-2021,Assam,1586181,206946,645884,442534,,,,1295462
18-04-2021,Assam,1597465,207103,651016,444774,,,,1302992
19-04-2021,Assam,1676713,208367,683236,459817,,,,1351522
20-04-2021,Assam,1770372,210157,725590,479364,,,,1415214
21-04-2021,Assam,1824812,211390,751889,491504,,,,1454891
22-04-2021,Assam,1898130,213859,787545,507070,,,,1508583
23-04-2021,Assam,1960809,216166,820046,520649,,,,1556972
24-04-2021,Assam,2005823,217866,844442,530532,,,,1592952
25-04-2021,Assam,2020521,218357,852842,533814,,,,1605126
26-04-2021,Assam,2104727,220861,892288,550938,,,,1664201
27-04-2021,Assam,2192325,311372,848162,568990,,,,1728642
28-04-2021,Assam,2242653,313984,873301,579426,,,,1766829
29-04-2021,Assam,2349267,317694,926990,601782,,,,1846567
30-04-2021,Assam,2480734,321825,994255,630619,,,,1946800
01-05-2021,Assam,2574065,324536,1044947,650946,,,,2020530
02-05-2021,Assam,2589899,324089,1054509,654478,,,,2033174
03-05-2021,Assam,2675846,327220,1097568,672062,,,,2096948
04-05-2021,Assam,2751204,330487,1134780,687124,,,,2152500
05-05-2021,Assam,2785838,332408,1150784,693550,,,,2176851
06-05-2021,Assam,2835452,335556,1173208,702929,,,,2211808
07-05-2021,Assam,2919568,371836,1194178,711425,,,,2277554
08-05-2021,Assam,3002857,412280,1214611,719312,,,,2346318
09-05-2021,Assam,3027029,422759,1221794,721754,,,,2366422
10-05-2021,Assam,3120516,451557,1249983,732373,,,,2434046
11-05-2021,Assam,3197150,470263,1275069,741984,,,,2487465
12-05-2021,Assam,3233331,481388,1290075,746788,,,,2518410
13-05-2021,Assam,3280423,499384,1304594,752154,,,,2556294
14-05-2021,Assam,3305992,512416,1311456,754500,,,,2578539
15-05-2021,Assam,3362553,550351,1322968,758184,,,,2631676
16-05-2021,Assam,3401496,583311,1327195,759416,,,,2670104
17-05-2021,Assam,3471991,627221,1339727,763614,,,,2730754
18-05-2021,Assam,3531930,665172,1350216,767079,,,,2782676
19-05-2021,Assam,3569472,691380,1355316,768721,,,,2815640
20-05-2021,Assam,3620350,725986,1362663,771021,,,,2859912
21-05-2021,Assam,3665676,752848,1371454,773801,,,,2898355
22-05-2021,Assam,3716056,773557,1386471,778249,,,,2938533
23-05-2021,Assam,3753633,794280,1396994,781111,,,,2972648
24-05-2021,Assam,3830284,819675,1424493,789630,,,,3034071
25-05-2021,Assam,3899915,846299,1448006,796769,,,,3091355
26-05-2021,Assam,3935243,862808,1458710,799719,,,,3121529
27-05-2021,Assam,3981992,881794,1476044,804650,,,,3162794
28-05-2021,Assam,4027266,900287,1493686,809573,,,,3203859
29-05-2021,Assam,4073879,923016,1509447,813914,,,,3246700
30-05-2021,Assam,4094193,932507,1516734,815868,,,,3265432
31-05-2021,Assam,4137653,948306,1534706,821156,,,,3304493
01-06-2021,Assam,4174820,959270,1551817,825961,,,,3337376
02-06-2021,Assam,4200000,968153,1562439,828779,,,,3359700
03-06-2021,Assam,4235371,981865,1577067,833160,,,,3392421
04-06-2021,Assam,4274481,998273,1593052,837523,,,,3429205
05-06-2021,Assam,4315221,1015786,1609094,842207,,,,3467449
06-06-2021,Assam,4339728,1028149,1616495,844359,,,,3489368
07-06-2021,Assam,4389697,1050641,1633838,849382,,,,3534232
08-06-2021,Assam,4451360,1079993,1654547,855822,,,,3590740
09-06-2021,Assam,4491566,1097705,1666000,859371,,,,3623460
10-06-2021,Assam,4585754,1153217,1678565,863347,,,,3695526
11-06-2021,Assam,4674511,1214430,1688545,866506,,,,3769894
12-06-2021,Assam,4758849,1273547,1698142,869415,,,,3841521
13-06-2021,Assam,4811949,1306428,1705312,871565,,,,3883727
14-06-2021,Assam,4891540,1335895,1723648,877250,,,,3937220
15-06-2021,Assam,4951863,1358508,1742323,882972,,,,3984232
16-06-2021,Assam,4998717,1373830,1757121,887148,,,,4018537
17-06-2021,Assam,5092307,1415638,1779674,894022,,,,4089782
18-06-2021,Assam,5210614,1486572,1794509,898321,,,,4179861
19-06-2021,Assam,5324600,1558681,1807872,902166,,,,4269193
20-06-2021,Assam,5360385,1579068,1811814,903299,,,,4294662
21-06-2021,Assam,5721227,1852091,1864181,918457,,,,4635279
22-06-2021,Assam,5989078,2046406,1906943,931869,,,,4885776
23-06-2021,Assam,6354626,2312518,1969101,951096,,,,5233285
24-06-2021,Assam,6523851,2428830,1998228,960167,,,,5387805
16-03-2021,Bihar,1521806,336619,402578,457893,,,,1197777
17-03-2021,Bihar,1633471,339861,421360,537801,,,,1299718
18-03-2021,Bihar,1709461,343727,435055,584707,,,,1364201
19-03-2021,Bihar,1781915,347282,448601,630405,,,,1427007
20-03-2021,Bihar,1868362,351126,465236,685818,,,,1502913
21-03-2021,Bihar,1893344,352088,469883,703764,,,,1526471
22-03-2021,Bihar,1960951,354396,481201,752393,,,,1588734
23-03-2021,Bihar,2090147,358917,503564,845017,,,,1708266
24-03-2021,Bihar,2199108,362540,522394,924583,,,,1810293
25-03-2021,Bihar,2326623,365874,545559,1019223,,,,1931442
26-03-2021,Bihar,2440263,368723,566393,1103528,,,,2039444
27-03-2021,Bihar,2555647,371142,588886,1189577,,,,2150425
28-03-2021,Bihar,2584553,371545,595414,1211245,,,,2179032
29-03-2021,Bihar,2587193,371559,596063,1213196,,,,2181647
30-03-2021,Bihar,2632950,372310,606035,1246710,,,,2225891
31-03-2021,Bihar,2739610,374331,629323,1322413,,,,2326918
01-04-2021,Bihar,2851813,376501,676552,1379721,,,,2433633
02-04-2021,Bihar,3064854,380026,776394,1481196,,,,2638486
03-04-2021,Bihar,3195814,382249,840257,1539850,,,,2763236
04-04-2021,Bihar,3346839,384237,917123,1605883,,,,2908130
05-04-2021,Bihar,3478610,384579,980809,1665492,,,,3031775
06-04-2021,Bihar,3676143,385142,1075533,1755738,,,,3217315
07-04-2021,Bihar,3981969,385885,1223179,1890738,,,,3500712
08-04-2021,Bihar,4165803,386365,1311312,1965119,,,,3663711
09-04-2021,Bihar,4233637,386719,1343043,1991099,,,,3721775
10-04-2021,Bihar,4491227,387622,1468809,2096637,,,,3953983
11-04-2021,Bihar,4744755,388394,1593789,2205146,,,,4188252
12-04-2021,Bihar,4952445,389565,1690053,2292054,,,,4372599
13-04-2021,Bihar,5049345,390325,1734938,2330711,,,,4456899
14-04-2021,Bihar,5225646,391571,1817501,2398651,,,,4608655
15-04-2021,Bihar,5352860,393566,1874499,2445909,,,,4714910
16-04-2021,Bihar,5426287,394858,1907005,2472117,,,,4774916
17-04-2021,Bihar,5578006,397741,1971174,2525331,,,,4895185
18-04-2021,Bihar,5686374,399068,2018767,2565629,,,,4984400
19-04-2021,Bihar,5836677,401779,2078558,2617763,,,,5099038
20-04-2021,Bihar,5964087,403800,2129587,2661047,,,,5195367
21-04-2021,Bihar,6057111,405315,2167926,2690953,,,,5265128
22-04-2021,Bihar,6169648,407334,2211450,2724578,,,,5344307
23-04-2021,Bihar,6270782,409756,2251242,2753897,,,,5415848
24-04-2021,Bihar,6362064,412086,2287882,2779315,,,,5480243
25-04-2021,Bihar,6437127,413525,2318481,2801554,,,,5534535
26-04-2021,Bihar,6557857,416173,2362927,2835067,,,,5615151
27-04-2021,Bihar,6661790,558059,2263202,2864197,,,,5686449
28-04-2021,Bihar,6761471,562159,2298645,2890276,,,,5752082
29-04-2021,Bihar,6869722,567181,2336696,2916965,,,,5821599
30-04-2021,Bihar,6967492,572437,2369838,2938810,,,,5881859
01-05-2021,Bihar,7047770,577355,2395519,2955071,,,,5928725
02-05-2021,Bihar,7110550,574826,2421841,2968034,,,,5965407
03-05-2021,Bihar,7233171,580332,2455247,2991407,,,,6027693
04-05-2021,Bihar,7359866,587086,2489208,3015043,,,,6092049
05-05-2021,Bihar,7475869,594498,2519250,3036336,,,,6150797
06-05-2021,Bihar,7604097,602304,2551552,3058132,,,,6212706
07-05-2021,Bihar,7698767,609383,2576576,3074612,,,,6261291
08-05-2021,Bihar,7782756,616430,2599035,3088208,,,,6304398
09-05-2021,Bihar,7905698,707085,2610086,3094085,,,,6411990
10-05-2021,Bihar,8108459,802922,2639391,3109725,,,,6552924
11-05-2021,Bihar,8289734,868582,2672158,3128150,,,,6669849
12-05-2021,Bihar,8410850,938215,2693521,3139173,,,,6771938
13-05-2021,Bihar,8568033,1042527,2714458,3149690,,,,6907777
14-05-2021,Bihar,8713263,1149475,2730423,3157100,,,,7038183
15-05-2021,Bihar,8869524,1268600,2745972,3164192,,,,7180068
16-05-2021,Bihar,8994996,1383132,2752667,3166777,,,,7303994
17-05-2021,Bihar,9108969,1473613,2765172,3171599,,,,7411900
18-05-2021,Bihar,9188143,1523201,2780255,3178054,,,,7483076
19-05-2021,Bihar,9244503,1552616,2794867,3184165,,,,7533234
20-05-2021,Bihar,9364319,1657827,2802664,3187484,,,,7649684
21-05-2021,Bihar,9461804,1727357,2817403,3193704,,,,7740228
22-05-2021,Bihar,9521984,1758246,2832198,3200164,,,,7792417
23-05-2021,Bihar,9680319,1898012,2841540,3204640,,,,7946124
24-05-2021,Bihar,9866975,2061663,2853123,3209492,,,,8126351
25-05-2021,Bihar,9988331,2161959,2862907,3213320,,,,8240377
26-05-2021,Bihar,10065594,2208411,2880235,3220094,,,,8310987
27-05-2021,Bihar,10117955,2233476,2895668,3226816,,,,8358232
28-05-2021,Bihar,10151853,2246216,2906760,3232021,,,,8387278
29-05-2021,Bihar,10204573,2261778,2926372,3240965,,,,8431414
30-05-2021,Bihar,10247415,2270460,2945260,3249828,,,,8467861
31-05-2021,Bihar,10307600,2281461,2970872,3261439,,,,8516097
01-06-2021,Bihar,10366689,2289937,2996868,3274463,,,,8563603
02-06-2021,Bihar,10424975,2297889,3024347,3288064,,,,8612656
03-06-2021,Bihar,10585288,2406210,3053322,3302386,,,,8764409
04-06-2021,Bihar,10772252,2543344,3080223,3315420,,,,8941673
05-06-2021,Bihar,10922525,2639165,3110897,3330618,,,,9083469
06-06-2021,Bihar,11030034,2699664,3136884,3343857,,,,9183267
07-06-2021,Bihar,11134737,2749119,3166960,3358635,,,,9277636
08-06-2021,Bihar,11231592,2786932,3198367,3374528,,,,9362801
09-06-2021,Bihar,11409331,2912293,3227046,3388113,,,,9530621
10-06-2021,Bihar,11599819,3050937,3256472,3401588,,,,9712352
11-06-2021,Bihar,11778969,3172385,3289515,3416257,,,,9881658
12-06-2021,Bihar,11938798,3268796,3326163,3433870,,,,10032415
13-06-2021,Bihar,12032029,3314823,3353567,3447416,,,,10119417
14-06-2021,Bihar,12133333,3355696,3386996,3464291,,,,10210633
15-06-2021,Bihar,12205407,3377936,3412993,3478757,,,,10273357
16-06-2021,Bihar,12716811,3798531,3460827,3499791,,,,10763130
